frame_path,mask_path,video,frame_idx,has_fascia,valid_mask
output/fascia/frames/202207111318_38-Perf/00000.png,output/fascia/masks/202207111318_38-Perf/00000.png,202207111318_38-Perf,0,False,False
output/fascia/frames/202207111318_38-Perf/00001.png,output/fascia/masks/202207111318_38-Perf/00001.png,202207111318_38-Perf,1,False,False
output/fascia/frames/202207111318_38-Perf/00002.png,output/fascia/masks/202207111318_38-Perf/00002.png,202207111318_38-Perf,2,False,False
output/fascia/frames/202207111318_38-Perf/00003.png,output/fascia/masks/202207111318_38-Perf/00003.png,202207111318_38-Perf,3,False,False
output/fascia/frames/202207111318_38-Perf/00004.png,output/fascia/masks/202207111318_38-Perf/00004.png,202207111318_38-Perf,4,False,False
output/fascia/frames/202207111318_38-Perf/00005.png,output/fascia/masks/202207111318_38-Perf/00005.png,202207111318_38-Perf,5,False,False
output/fascia/frames/202207111318_38-Perf/00006.png,output/fascia/masks/202207111318_38-Perf/00006.png,202207111318_38-Perf,6,False,False
output/fascia/frames/202207111318_38-Perf/00007.png,output/fascia/masks/202207111318_38-Perf/00007.png,202207111318_38-Perf,7,False,False
output/fascia/frames/202207111318_38-Perf/00008.png,output/fascia/masks/202207111318_38-Perf/00008.png,202207111318_38-Perf,8,False,False
output/fascia/frames/202207111318_38-Perf/00009.png,output/fascia/masks/202207111318_38-Perf/00009.png,202207111318_38-Perf,9,False,False
output/fascia/frames/202207111318_38-Perf/00010.png,output/fascia/masks/202207111318_38-Perf/00010.png,202207111318_38-Perf,10,False,False
output/fascia/frames/202207111318_38-Perf/00011.png,output/fascia/masks/202207111318_38-Perf/00011.png,202207111318_38-Perf,11,False,False
output/fascia/frames/202207111318_38-Perf/00012.png,output/fascia/masks/202207111318_38-Perf/00012.png,202207111318_38-Perf,12,False,False
output/fascia/frames/202207111318_38-Perf/00013.png,output/fascia/masks/202207111318_38-Perf/00013.png,202207111318_38-Perf,13,False,False
output/fascia/frames/202207111318_38-Perf/00014.png,output/fascia/masks/202207111318_38-Perf/00014.png,202207111318_38-Perf,14,False,False
output/fascia/frames/202207111318_38-Perf/00015.png,output/fascia/masks/202207111318_38-Perf/00015.png,202207111318_38-Perf,15,False,False
output/fascia/frames/202207111318_38-Perf/00016.png,output/fascia/masks/202207111318_38-Perf/00016.png,202207111318_38-Perf,16,False,False
output/fascia/frames/202207111318_38-Perf/00017.png,output/fascia/masks/202207111318_38-Perf/00017.png,202207111318_38-Perf,17,False,False
output/fascia/frames/202207111318_38-Perf/00018.png,output/fascia/masks/202207111318_38-Perf/00018.png,202207111318_38-Perf,18,False,False
