video,frame_idx,frame_path,mask_path,has_vein
202207111318_38-Perf,0,output/vein/frames/202207111318_38-Perf_00000.png,output/vein/masks/202207111318_38-Perf_00000.png,False
202207111318_38-Perf,1,output/vein/frames/202207111318_38-Perf_00001.png,output/vein/masks/202207111318_38-Perf_00001.png,False
202207111318_38-Perf,2,output/vein/frames/202207111318_38-Perf_00002.png,output/vein/masks/202207111318_38-Perf_00002.png,False
202207111318_38-Perf,3,output/vein/frames/202207111318_38-Perf_00003.png,output/vein/masks/202207111318_38-Perf_00003.png,False
202207111318_38-Perf,4,output/vein/frames/202207111318_38-Perf_00004.png,output/vein/masks/202207111318_38-Perf_00004.png,True
202207111318_38-Perf,5,output/vein/frames/202207111318_38-Perf_00005.png,output/vein/masks/202207111318_38-Perf_00005.png,True
202207111318_38-Perf,6,output/vein/frames/202207111318_38-Perf_00006.png,output/vein/masks/202207111318_38-Perf_00006.png,True
202207111318_38-Perf,7,output/vein/frames/202207111318_38-Perf_00007.png,output/vein/masks/202207111318_38-Perf_00007.png,True
202207111318_38-Perf,8,output/vein/frames/202207111318_38-Perf_00008.png,output/vein/masks/202207111318_38-Perf_00008.png,True
202207111318_38-Perf,9,output/vein/frames/202207111318_38-Perf_00009.png,output/vein/masks/202207111318_38-Perf_00009.png,True
202207111318_38-Perf,10,output/vein/frames/202207111318_38-Perf_00010.png,output/vein/masks/202207111318_38-Perf_00010.png,True
202207111318_38-Perf,11,output/vein/frames/202207111318_38-Perf_00011.png,output/vein/masks/202207111318_38-Perf_00011.png,True
202207111318_38-Perf,12,output/vein/frames/202207111318_38-Perf_00012.png,output/vein/masks/202207111318_38-Perf_00012.png,True
202207111318_38-Perf,13,output/vein/frames/202207111318_38-Perf_00013.png,output/vein/masks/202207111318_38-Perf_00013.png,True
202207111318_38-Perf,14,output/vein/frames/202207111318_38-Perf_00014.png,output/vein/masks/202207111318_38-Perf_00014.png,True
202207111318_38-Perf,15,output/vein/frames/202207111318_38-Perf_00015.png,output/vein/masks/202207111318_38-Perf_00015.png,True
202207111318_38-Perf,16,output/vein/frames/202207111318_38-Perf_00016.png,output/vein/masks/202207111318_38-Perf_00016.png,True
202207111318_38-Perf,17,output/vein/frames/202207111318_38-Perf_00017.png,output/vein/masks/202207111318_38-Perf_00017.png,True
202207111318_38-Perf,18,output/vein/frames/202207111318_38-Perf_00018.png,output/vein/masks/202207111318_38-Perf_00018.png,True
202207111318_38-Perf,19,output/vein/frames/202207111318_38-Perf_00019.png,output/vein/masks/202207111318_38-Perf_00019.png,True
202207111318_38-Perf,20,output/vein/frames/202207111318_38-Perf_00020.png,output/vein/masks/202207111318_38-Perf_00020.png,True
202207111318_38-Perf,21,output/vein/frames/202207111318_38-Perf_00021.png,output/vein/masks/202207111318_38-Perf_00021.png,True
202207111318_38-Perf,22,output/vein/frames/202207111318_38-Perf_00022.png,output/vein/masks/202207111318_38-Perf_00022.png,True
202207111318_38-Perf,23,output/vein/frames/202207111318_38-Perf_00023.png,output/vein/masks/202207111318_38-Perf_00023.png,True
202207111318_38-Perf,24,output/vein/frames/202207111318_38-Perf_00024.png,output/vein/masks/202207111318_38-Perf_00024.png,True
202207111318_38-Perf,25,output/vein/frames/202207111318_38-Perf_00025.png,output/vein/masks/202207111318_38-Perf_00025.png,True
202207111318_38-Perf,26,output/vein/frames/202207111318_38-Perf_00026.png,output/vein/masks/202207111318_38-Perf_00026.png,True
202207111318_38-Perf,27,output/vein/frames/202207111318_38-Perf_00027.png,output/vein/masks/202207111318_38-Perf_00027.png,True
202207111318_38-Perf,28,output/vein/frames/202207111318_38-Perf_00028.png,output/vein/masks/202207111318_38-Perf_00028.png,True
202207111318_38-Perf,29,output/vein/frames/202207111318_38-Perf_00029.png,output/vein/masks/202207111318_38-Perf_00029.png,True
202207111318_38-Perf,30,output/vein/frames/202207111318_38-Perf_00030.png,output/vein/masks/202207111318_38-Perf_00030.png,True
202207111318_38-Perf,31,output/vein/frames/202207111318_38-Perf_00031.png,output/vein/masks/202207111318_38-Perf_00031.png,True
202207111318_38-Perf,32,output/vein/frames/202207111318_38-Perf_00032.png,output/vein/masks/202207111318_38-Perf_00032.png,True
202207111318_38-Perf,33,output/vein/frames/202207111318_38-Perf_00033.png,output/vein/masks/202207111318_38-Perf_00033.png,True
202207111318_38-Perf,34,output/vein/frames/202207111318_38-Perf_00034.png,output/vein/masks/202207111318_38-Perf_00034.png,True
202207111318_38-Perf,35,output/vein/frames/202207111318_38-Perf_00035.png,output/vein/masks/202207111318_38-Perf_00035.png,True
202207111318_38-Perf,36,output/vein/frames/202207111318_38-Perf_00036.png,output/vein/masks/202207111318_38-Perf_00036.png,True
202207111318_38-Perf,37,output/vein/frames/202207111318_38-Perf_00037.png,output/vein/masks/202207111318_38-Perf_00037.png,True
202207111318_38-Perf,38,output/vein/frames/202207111318_38-Perf_00038.png,output/vein/masks/202207111318_38-Perf_00038.png,True
202207111318_38-Perf,39,output/vein/frames/202207111318_38-Perf_00039.png,output/vein/masks/202207111318_38-Perf_00039.png,True
202207111318_38-Perf,40,output/vein/frames/202207111318_38-Perf_00040.png,output/vein/masks/202207111318_38-Perf_00040.png,True
202207111318_38-Perf,41,output/vein/frames/202207111318_38-Perf_00041.png,output/vein/masks/202207111318_38-Perf_00041.png,True
202207111318_38-Perf,42,output/vein/frames/202207111318_38-Perf_00042.png,output/vein/masks/202207111318_38-Perf_00042.png,True
202207111318_38-Perf,43,output/vein/frames/202207111318_38-Perf_00043.png,output/vein/masks/202207111318_38-Perf_00043.png,True
202207111318_38-Perf,44,output/vein/frames/202207111318_38-Perf_00044.png,output/vein/masks/202207111318_38-Perf_00044.png,True
202207111318_38-Perf,45,output/vein/frames/202207111318_38-Perf_00045.png,output/vein/masks/202207111318_38-Perf_00045.png,True
202207111318_38-Perf,46,output/vein/frames/202207111318_38-Perf_00046.png,output/vein/masks/202207111318_38-Perf_00046.png,True
202207111318_38-Perf,47,output/vein/frames/202207111318_38-Perf_00047.png,output/vein/masks/202207111318_38-Perf_00047.png,True
202207111318_38-Perf,48,output/vein/frames/202207111318_38-Perf_00048.png,output/vein/masks/202207111318_38-Perf_00048.png,True
202207111318_38-Perf,49,output/vein/frames/202207111318_38-Perf_00049.png,output/vein/masks/202207111318_38-Perf_00049.png,True
